ID,GENDER,HISPANIC,ETHNIC,ETHNIC2,AGE_20161231,AGECAT7,SPELLAGE,INYEAR,SPELL,START,STOP,SPELLONE,TYPE,PLACE1,PLACE2,PLACE2_DATE,LASTPLACE,LEVELCHG,NPLACES,MOVES,DISCH,RUNS,REENTER,DURAT,DURMO,DURCAT,RECAT,EXIT,IM,IY,IYMO,OM,OY,OYMO
1,F,U,WH,WH,20,7,17,2014,1,02/01/2014,29/04/2014,1,SG,PSG, , ,PSG,0,1,0,1,0,0,117,3.836065574,3,6,XRF,1,2014,201401,4,2014,201404
2,M,U,BL,BL,7,3,4,2014,1,03/01/2014,04/03/2014,1,KC,PKC, , ,PKC,0,1,0,1,0,0,60,1.967213115,2,6,XRF,1,2014,201401,3,2014,201403
3,M,N,WH,WH,3,1,0,2014,1,03/01/2014,25/02/2014,1,KC,PKC, , ,PKC,0,1,0,1,0,1,53,1.737704918,2,1,XRF,1,2014,201401,2,2014,201402
4,M,N,BL,BL,6,3,4,2014,1,06/01/2014,02/08/2016,1,FC,PFC, , ,PFC,0,1,0,1,0,0,939,30.78688525,6,3,XLC,1,2014,201401,8,2016,201608
5,F,N,BL,BL,5,2,2,2014,1,06/01/2014,02/08/2016,1,KC,PKC, , ,PKC,0,1,0,1,0,0,939,30.78688525,6,3,XLC,1,2014,201401,8,2016,201608
6,F,U,WH,WH,20,7,17,2014,1,06/01/2014,17/01/2014,1,SG,PSG, , ,PSG,0,1,0,1,0,0,11,0.360655738,1,6,XOT,1,2014,201401,1,2014,201401
7,F,Y,BL,BL,2,1,0,2014,1,06/01/2014,10/01/2014,1,FC,PFC, , ,PFC,0,1,0,1,0,1,4,0.131147541,1,3,XRF,1,2014,201401,1,2014,201401
8,F,N,WH,WH,6,3,3,2014,1,07/01/2014,12/06/2014,1,KC,PKC, , ,PKC,0,1,0,1,0,1,156,5.114754098,3,6,XRF,1,2014,201401,6,2014,201406
9,M,Y,OT,OT,3,1,0,2014,1,07/01/2014,19/11/2016,1,FC,PSF,PKC,10/01/2014,PFC,1,4,3,1,0,0,1047,34.32786885,6,2,XCA,1,2014,201401,11,2016,201611
10,F,U,BL,BL,19,7,16,2014,1,08/01/2014,01/03/2014,1,GH,PSG,PGH,23/01/2014,PGH,1,2,1,1,1,1,52,1.704918033,2,2,XRY,1,2014,201401,3,2014,201403
11,M,N,MU,OT,7,3,4,2014,1,08/01/2014,22/09/2016,1,KC,PFC,PKC,13/05/2015,PKC,1,2,1,1,0,0,988,32.39344262,6,3,XCA,1,2014,201401,9,2016,201609
12,F,U,UK,OT,19,7,16,2014,1,08/01/2014,01/07/2016,1,IL,PFC,PIL,11/09/2014,PIL,1,2,1,1,0,0,905,29.67213115,6,4,XOP,1,2014,201401,7,2016,201607
13,M,N,WH,WH,17,6,14,2014,1,08/01/2014,01/01/2017,1,GH,PGH,PIL,12/07/2016,PIL,1,2,1,0,0,0,1089,35.70491803,6,0,ZTC,1,2014,201401,1,2017,201701
14,M,N,MU,OT,4,2,1,2014,1,08/01/2014,28/02/2014,1,FC,PFC, , ,PFC,0,1,0,1,0,0,51,1.672131148,2,6,XRF,1,2014,201401,2,2014,201402
15,M,N,MU,OT,3,1,0,2014,1,08/01/2014,22/09/2016,1,KC,PFC,PKC,13/05/2015,PKC,1,2,1,1,0,0,988,32.39344262,6,3,XCA,1,2014,201401,9,2016,201609
16,M,N,WH,WH,3,1,0,2014,1,08/01/2014,12/06/2015,1,KC,PKC,PKC,09/01/2014,PKC,0,2,1,1,0,1,520,17.04918033,5,2,XRF,1,2014,201401,6,2015,201506
17,F,N,BL,BL,2,1,0,2014,1,08/01/2014,24/09/2015,1,KC,PKC, , ,PKC,0,1,0,1,0,0,624,20.45901639,6,5,XCA,1,2014,201401,9,2015,201509
18,F,N,BL,BL,18,7,15,2014,1,09/01/2014,27/01/2014,1,SG,PSG, , ,PSG,0,1,0,1,0,0,18,0.590163934,1,6,XRF,1,2014,201401,1,2014,201401
19,F,N,BL,BL,3,1,0,2014,1,09/01/2014,17/03/2016,1,KC,PKC, , ,PKC,0,1,0,1,0,0,798,26.16393443,6,4,XCA,1,2014,201401,3,2016,201603
20,F,N,BL,BL,16,6,13,2014,1,10/01/2014,01/03/2014,1,GH,PGH, , ,PGH,0,1,0,1,1,1,50,1.639344262,2,1,XRY,1,2014,201401,3,2014,201403
21,F,N,OT,OT,12,5,9,2014,1,10/01/2014,08/04/2014,1,KC,PSF,PKC,13/01/2014,PKC,1,2,1,1,0,0,88,2.885245902,2,6,XRL,1,2014,201401,4,2014,201404
22,M,N,BL,BL,15,6,12,2014,1,10/01/2014,10/08/2015,1,FC,PSG,PFC,08/05/2014,PFC,1,4,3,1,0,1,577,18.91803279,6,2,XRF,1,2014,201401,8,2015,201508
23,M,N,BL,BL,8,3,5,2014,1,10/01/2014,21/07/2015,1,KC,PKC, , ,PKC,0,1,0,1,0,1,557,18.26229508,6,5,XLC,1,2014,201401,7,2015,201507
24,M,N,BL,BL,15,6,12,2014,1,10/01/2014,01/01/2017,1,MX,PSG,PFC,08/05/2014,PUK,1,5,4,0,0,0,1087,35.63934426,6,0,ZTC,1,2014,201401,1,2017,201701
25,F,N,BL,BL,7,3,4,2014,1,10/01/2014,21/07/2015,1,KC,PKC, , ,PKC,0,1,0,1,0,1,557,18.26229508,6,5,XLC,1,2014,201401,7,2015,201507
26,F,N,BL,BL,7,3,4,2014,1,10/01/2014,21/07/2015,1,KC,PKC, , ,PKC,0,1,0,1,0,1,557,18.26229508,6,5,XLC,1,2014,201401,7,2015,201507
27,F,U,OT,OT,5,2,2,2014,1,10/01/2014,26/01/2015,1,KC,PKC,PKC,05/02/2014,PKC,0,2,1,1,0,0,381,12.49180328,5,6,XRF,1,2014,201401,1,2015,201501
28,M,N,BL,BL,18,7,15,2014,1,10/01/2014,05/05/2015,1,KC,PKC, , ,PKC,0,1,0,1,0,0,480,15.73770492,5,6,XLC,1,2014,201401,5,2015,201505
29,F,N,BL,BL,4,2,1,2014,1,10/01/2014,21/07/2015,1,KC,PKC, , ,PKC,0,1,0,1,0,0,557,18.26229508,6,5,XLC,1,2014,201401,7,2015,201507
30,F,N,WH,WH,16,6,13,2014,1,13/01/2014,18/02/2014,1,SG,PSG, , ,PSG,0,1,0,1,0,0,36,1.180327869,2,6,XJP,1,2014,201401,2,2014,201402
31,F,N,BL,BL,12,5,9,2014,1,14/01/2014,09/02/2015,1,KC,PKC,PKC,12/03/2014,PKC,0,2,1,1,0,0,391,12.81967213,5,6,XLC,1,2014,201401,2,2015,201502
32,M,N,BL,BL,8,3,5,2014,1,14/01/2014,09/02/2015,1,KC,PKC,PKC,12/03/2014,PKC,0,2,1,1,0,0,391,12.81967213,5,6,XLC,1,2014,201401,2,2015,201502
33,M,N,BL,BL,5,2,2,2014,1,14/01/2014,08/07/2016,1,KC,PKC,PKC,27/10/2014,PKC,0,2,1,1,0,0,906,29.70491803,6,3,XLC,1,2014,201401,7,2016,201607
34,F,N,BL,BL,3,1,0,2014,1,14/01/2014,16/06/2014,1,KC,PKC,PKC,18/03/2014,PKC,0,2,1,1,0,0,153,5.016393443,3,6,XRF,1,2014,201401,6,2014,201406
35,M,N,BL,BL,7,3,4,2014,1,14/01/2014,17/12/2014,1,KC,PKC, , ,PKC,0,1,0,1,0,0,337,11.04918033,4,6,XRF,1,2014,201401,12,2014,201412
36,F,N,BL,BL,6,3,3,2014,1,14/01/2014,17/12/2014,1,KC,PKC, , ,PKC,0,1,0,1,0,0,337,11.04918033,4,6,XRF,1,2014,201401,12,2014,201412
37,F,N,WH,WH,14,5,11,2014,1,15/01/2014,08/01/2016,1,KC,PKC, , ,PKC,0,1,0,1,0,0,723,23.70491803,6,4,XLC,1,2014,201401,1,2016,201601
38,M,N,BL,BL,19,7,16,2014,1,15/01/2014,17/01/2014,1,SG,PSG, , ,PSG,0,1,0,1,0,0,2,0.065573771,1,6,XRF,1,2014,201401,1,2014,201401
39,F,Y,OT,OT,5,2,2,2014,1,15/01/2014,17/03/2016,1,KC,PKC, , ,PKC,0,1,0,1,0,0,792,25.96721312,6,4,XLC,1,2014,201401,3,2016,201603
